bathrooms,bedrooms,link,listing_type,location,price,purpose,size_sqm,title,source,price_per_sqm,beds_bin
3.0,2,https://www.bayut.om/en/property/details-130270418.html,Apartment,"Salalah, Dhofar",85000.0,For Sale,120.0,2 Bedroom Apartment For Sale in Salalah Dhofar,bayut,708.3333333333334,"(1, 2]"
4.0,3,https://www.bayut.om/en/property/details-130286222.html,Apartment,"Al Maabilah, Muscat",74350.0,For Sale,155.0,3 Bedrooms Apartment For Sale in Al Maabilah Muscat,bayut,479.6774193548387,"(2, 3]"
4.0,3,https://www.bayut.om/en/property/details-130286239.html,Apartment,"Al Maabilah, Muscat",108990.0,For Sale,155.0,3 Bedrooms Apartment For Sale Al Maabilah Muscat,bayut,703.1612903225806,"(2, 3]"
6.0,5,https://www.bayut.om/en/property/details-130288041.html,Villa,"Madinat As Sultan Qaboos, Muscat",429000.0,For Sale,725.0,5 Bedrooms Villa For Sale in Madinat As Sultan Qaboos Muscat,bayut,591.7241379310345,"(4, 6]"
4.0,4,https://www.bayut.om/en/property/details-130279790.html,Villa,"Muscat Hills, Muscat",205000.0,For Sale,270.0,4 Bedroom Villa For Sale in Muscat Hills Muscat,bayut,759.2592592592592,"(3, 4]"
3.0,2,https://www.bayut.om/en/property/details-130287384.html,Apartment,"Qurum, Muscat",405000.0,For Sale,131.0,2 Bedrooms Apartment For Sale in Qurum Muscat,bayut,3091.6030534351144,"(1, 2]"
6.0,6,https://www.bayut.om/en/property/details-130294133.html,Villa,"The Wave (Almouj), Muscat",480000.0,For Sale,619.0,6 Bedroom Villa For Sale in The Wave Almouj Muscat,bayut,775.4442649434571,"(4, 6]"
7.0,5,https://www.bayut.om/en/property/details-130272074.html,Villa,"Barka, Al Batinah",62000.0,For Sale,354.0,5 Bedroom Villa For Sale in Barka Al Batinah,bayut,175.14124293785312,"(4, 6]"
3.0,3,https://www.bayut.om/en/property/details-130304185.html,Villa,"Salalah, Dhofar",350000.0,For Sale,292.0,3 Bedrooms Villa For Sale in Salalah Dhofar,bayut,1198.6301369863013,"(2, 3]"
2.0,2,https://www.bayut.om/en/property/details-130283306.html,Apartment,"The Wave (Almouj), Muscat",140000.0,For Sale,127.0,2 Bedroom Apartment For Sale in The Wave Almouj Muscat,bayut,1102.3622047244094,"(1, 2]"
4.0,3,https://www.bayut.om/en/property/details-130283342.html,Apartment,"Al Maabilah, Muscat",100130.0,For Sale,138.0,3 Bedrooms Apartment For Sale Al Maabilah Muscat,bayut,725.5797101449275,"(2, 3]"
1.0,1,https://www.bayut.om/en/property/details-130306849.html,Apartment,"Al Sifah, Muscat",65000.0,For Sale,91.0,1 Bedroom Apartment For Sale Al Sifah Muscat,bayut,714.2857142857143,"(0, 1]"
5.0,5,https://www.bayut.om/en/property/details-130300184.html,Villa,"Yiti, Muscat",905000.0,For Sale,405.0,5 Bedrooms Villa For Sale Al Sifah Muscat,bayut,2234.567901234568,"(4, 6]"
5.0,5,https://www.bayut.om/en/property/details-130300176.html,Villa,"Yiti, Muscat",922000.0,For Sale,405.0,5 Bedrooms Villa For Sale Al Sifah Muscat,bayut,2276.543209876543,"(4, 6]"
3.0,3,https://www.bayut.om/en/property/details-130262532.html,Chalet,"Barka, Al Batinah",59000.0,For Sale,192.0,3 Bedrooms Chalet For Sale in Barka Al Batinah,bayut,307.2916666666667,"(2, 3]"
2.0,2,https://www.bayut.om/en/property/details-130325918.html,Apartment,"The Wave (Almouj), Muscat",125000.0,For Sale,139.0,2 Bedrooms Apartment For Sale in The Wave Almouj Muscat,bayut,899.2805755395683,"(1, 2]"
4.0,4,https://www.bayut.om/en/property/details-500024562.html,Villa,"Al Sifah, Muscat",900.0,For Sale,900.0,4 Bedrooms Villas For Sale in Oman,bayut,1.0,"(3, 4]"
4.0,3,https://www.bayut.om/en/property/details-130303602.html,Apartment,"Al Khuwair, Muscat",60000.0,For Sale,125.0,3 Bedrooms Apartment For Sale Al Khuwair Muscat,bayut,480.0,"(2, 3]"
1.0,1,https://www.bayut.om/en/property/details-130306981.html,Apartment,"The Wave (Almouj), Muscat",100000.0,For Sale,90.0,1 Bedroom Apartment For Sale The Wave Almouj Muscat,bayut,1111.111111111111,"(0, 1]"
1.0,1,https://www.bayut.om/en/property/details-130303472.html,Apartment,"The Wave (Almouj), Muscat",89000.0,For Sale,104.0,1 Bedroom Apartment For Sale Muscat The Wave Almouj,bayut,855.7692307692307,"(0, 1]"
3.0,2,https://www.bayut.om/en/property/details-130260258.html,Chalet,"Al Sifah, Muscat",190000.0,For Sale,990.0,2 Bedroom Chalet For Sale Al Sifah Muscat,bayut,191.91919191919192,"(1, 2]"
3.0,2,https://www.bayut.om/en/property/details-130288064.html,Apartment,"Muscat Hills, Muscat",85000.0,For Sale,120.0,2 Bedrooms Apartment For Sale in Muscat Hills Muscat,bayut,708.3333333333334,"(1, 2]"
2.0,2,https://www.bayut.om/en/property/details-130291600.html,Apartment,"Salalah, Dhofar",20000.0,For Sale,64.0,2 Bedrooms Apartment For Sale in Salalah Dhofar,bayut,312.5,"(1, 2]"
4.0,3,https://www.bayut.om/en/property/details-130301210.html,Chalet,"Misfah, Muscat",95000.0,For Sale,600.0,3 Bedrooms Chalet For Sale Misfah Muscat,bayut,158.33333333333334,"(2, 3]"
6.0,5,https://www.bayut.om/en/property/details-130298050.html,Villa,"Al Maabilah, Muscat",105000.0,For Sale,300.0,5 Bedrooms Villa For Sale in Al Maabilah Muscat,bayut,350.0,"(4, 6]"
6.0,5,https://www.bayut.om/en/property/details-130298134.html,Villa,"Al Khoud, Muscat",137000.0,For Sale,420.0,5 Bedrooms Villa For Sale Al Khoud Muscat,bayut,326.1904761904762,"(4, 6]"
5.0,3,https://www.bayut.om/en/property/details-130298064.html,Villa,"Al Khoud, Muscat",165000.0,For Sale,500.0,3 Bedrooms Villa For Sale in Al Khoud Muscat,bayut,330.0,"(2, 3]"
5.0,6,https://www.bayut.om/en/property/details-130298043.html,Villa,"Al Mawaleh, Muscat",160000.0,For Sale,408.0,6 Bedrooms Villa For Sale Al Mawaleh Muscat,bayut,392.15686274509807,"(4, 6]"
1.0,1,https://www.bayut.om/en/property/details-130304903.html,Apartment,"Taqah, Dhofar",55000.0,For Sale,75.0,1 Bedroom Apartment For Sale Taqah Dhofar,bayut,733.3333333333334,"(0, 1]"
9.0,7,https://www.bayut.om/en/property/details-130273642.html,Villa,"Ansab, Muscat",232000.0,For Sale,664.0,7 Bedroom Villa For Sale in Ansab Muscat,bayut,349.3975903614458,"(6, 15]"
6.0,4,https://www.bayut.om/en/property/details-130314419.html,Villa,"Al Khoud, Muscat",85000.0,For Sale,283.0,4 Bedroom Villa For Sale in Al Khoud Muscat,bayut,300.35335689045934,"(3, 4]"
1.0,1,https://www.bayut.om/en/property/details-130322635.html,Residential Land,"Mirbat, Dhofar",31000.0,For Sale,600.0,Residential Land For Sale in Mirbat Dhofar,bayut,51.666666666666664,"(0, 1]"
2.0,2,https://www.bayut.om/en/property/details-130289802.html,Apartment,"The Wave (Almouj), Muscat",135000.0,For Sale,138.0,2 Bedrooms Apartment For Sale Muscat The Wave Almouj,bayut,978.2608695652174,"(1, 2]"
2.0,2,https://www.bayut.om/en/property/details-130283301.html,Apartment,"The Wave (Almouj), Muscat",140000.0,For Sale,127.0,2 Bedrooms Apartment For Sale The Wave Almouj Muscat,bayut,1102.3622047244094,"(1, 2]"
1.0,1,https://www.bayut.om/en/property/details-130288072.html,Apartment,"Al Hail, Muscat",39000.0,For Sale,79.0,1 Bedroom Apartment For Sale Al Hail Muscat,bayut,493.67088607594934,"(0, 1]"
8.0,8,https://www.bayut.om/en/property/details-130298729.html,Villa,"Barka, Al Batinah",78000.0,For Sale,350.0,8 Bedroom Villa For Sale in Barka Al Batinah,bayut,222.85714285714286,"(6, 15]"
5.0,3,https://www.bayut.om/en/property/details-130282076.html,Villa,"Yiti, Muscat",274733.0,For Sale,238.0,3 Bedroom Villa For Sale Yiti Muscat,bayut,1154.3403361344538,"(2, 3]"
7.0,5,https://www.bayut.om/en/property/details-130252100.html,Villa,"Barka, Al Batinah",63500.0,For Sale,327.0,5 Bedroom Villa For Sale in Barka Al Batinah,bayut,194.18960244648318,"(4, 6]"
2.0,2,https://www.bayut.om/en/property/details-130251449.html,Villa,"Salalah, Dhofar",135000.0,For Sale,124.0,2 Bedrooms Villa For Sale Salalah Dhofar,bayut,1088.7096774193549,"(1, 2]"
7.0,6,https://www.bayut.om/en/property/details-130303802.html,Villa,"Al Hail, Muscat",140000.0,For Sale,3863.0,6 Bedroom Villa For Sale in Al Hail Muscat,bayut,36.24126326689102,"(4, 6]"
2.0,2,https://www.bayut.om/en/property/details-500024574.html,Apartment,"Wadi Bani Khalid, Al Sharqiya",8000.0,For Sale,900.0,2 Bedroom Apartment For Sale in Oman,bayut,8.88888888888889,"(1, 2]"
2.0,2,https://www.bayut.om/en/property/details-130255734.html,Apartment,"Taqah, Dhofar",109000.0,For Sale,130.0,2 Bedrooms Apartment For Sale Taqah Dhofar,bayut,838.4615384615385,"(1, 2]"
4.0,3,https://www.bayut.om/en/property/details-130283335.html,Apartment,"Al Maabilah, Muscat",68590.0,For Sale,138.0,3 Bedroom Apartment For Sale in Al Maabilah Muscat,bayut,497.0289855072464,"(2, 3]"
3.0,2,https://www.bayut.om/en/property/details-130267674.html,Apartment,"Ghala, Muscat",44500.0,For Sale,95.0,2 Bedroom Apartment For Sale in Ghala Muscat,bayut,468.42105263157896,"(1, 2]"
2.0,2,https://www.bayut.om/en/property/details-130275121.html,Villa,"Barka, Al Batinah",35500.0,For Sale,600.0,2 Bedrooms Villa For Sale in Barka Al Batinah,bayut,59.166666666666664,"(1, 2]"
2.0,2,https://www.bayut.om/en/property/details-130289629.html,Apartment,"The Wave (Almouj), Muscat",146500.0,For Sale,125.0,2 Bedroom Apartment For Sale in The Wave Almouj Muscat,bayut,1172.0,"(1, 2]"
2.0,2,https://www.bayut.om/en/property/details-130287932.html,Apartment,"Qurum, Muscat",80000.0,For Sale,137.0,2 Bedrooms Apartment For Sale Qurum Muscat,bayut,583.9416058394161,"(1, 2]"
2.0,1,https://www.bayut.om/en/property/details-130265096.html,Apartment,"Muscat Hills, Muscat",63000.0,For Sale,74.0,1 Bedroom Apartment For Sale in Muscat Hills Muscat,bayut,851.3513513513514,"(0, 1]"
6.0,6,https://www.bayut.om/en/property/details-130261626.html,Villa,"Al Mawaleh, Muscat",1360000.0,For Sale,933.0,6 Bedroom Villa For Sale in Al Mawaleh Muscat,bayut,1457.6634512325832,"(4, 6]"
7.0,6,https://www.bayut.om/en/property/details-130326939.html,Villa,"The Wave (Almouj), Muscat",725000.0,For Sale,606.0,6 Bedroom Villa For Sale in The Wave Almouj Muscat,bayut,1196.3696369636964,"(4, 6]"
3.0,3,https://www.bayut.om/en/property/details-130278899.html,Villa,"Al Amarat, Muscat",52000.0,For Sale,399.0,3 Bedrooms Villa For Sale Al Amarat Muscat,bayut,130.32581453634086,"(2, 3]"
2.0,1,https://www.bayut.om/en/property/details-130295744.html,Apartment,"Al Seeb, Muscat",59016.0,For Sale,83.0,1 Bedroom Apartment For Sale in Al Seeb Muscat,bayut,711.0361445783133,"(0, 1]"
5.0,4,https://www.bayut.om/en/property/details-130247537.html,Villa,"Al Amarat, Muscat",44000.0,For Sale,208.0,3 Bedrooms Villa For Sale in Al Amarat Muscat,bayut,211.53846153846155,"(3, 4]"
6.0,5,https://www.bayut.om/en/property/details-130285548.html,Villa,"Barka, Al Batinah",65000.0,For Sale,233.0,5 Bedrooms Villa For Sale Barka Al Batinah,bayut,278.9699570815451,"(4, 6]"
6.0,6,https://www.bayut.om/en/property/details-130286390.html,Villa,"The Wave (Almouj), Muscat",1500000.0,For Sale,907.0,6 Bedroom Villa For Sale in The Wave Almouj Muscat,bayut,1653.8037486218302,"(4, 6]"
